Price Ranges,MTN,,Vodafone,,AirtelTigo,
,Across Network,Same Network,Across Network,Same Network,Across Network,Same Network
GHS 1 - GHS 50,0.75,0.5,0.5,0.5,0.75,0.5
GHS 51 - GHS 75,1.50%,1%,1.50%,0.5,1.50%,1
GHS 76 - GHS 100*,1.50%,1%,1.50%,0.75,1.50%,1
GHS 101 - GHS 250,1.50%,1%,1.50%,1,1.50%,1.5
GHS 251 - GHS 500,1.50%,1%,1.50%,2,1.50%,2
GHS 501 - GHS 1000,1.50%,1%,1.50%,3,1.50%,2.5
"GHS 1, 000 - GHS 5, 000",,,15,,15,
,,,,,,
,,,,,,
* Range included to accommodate Vodafone unique 50 -75/76 - 100 price point split,,,,,,
